"Name"|"Symbol"|"Type"|"Locus"|"OMIM"
"cellular communication network factor 2"|"CCN2"|"gene with protein product"|"6q23.2"|121009
"C-C motif chemokine receptor 6"|"CCR6"|"gene with protein product"|"6q27"|601835
"aminoadipate-semialdehyde synthase"|"AASS"|"gene with protein product"|"7q31.32"|605113
"stromal antigen 2"|"STAG2"|"gene with protein product"|"Xq25"|300826
"cobalamin binding intrinsic factor"|"CBLIF"|"gene with protein product"|"11q12.1"|609342
"plasminogen activator, urokinase"|"PLAU"|"gene with protein product"|"10q22.2"|191840
"thromboxane A2 receptor"|"TBXA2R"|"gene with protein product"|"19p13.3"|188070
"5-methyltetrahydrofolate-homocysteine methyltransferase"|"MTR"|"gene with protein product"|"1q43"|156570
"ornithine aminotransferase"|"OAT"|"gene with protein product"|"10q26.13"|613349
"N-acetylglutamate synthase"|"NAGS"|"gene with protein product"|"17q21.31"|608300
"phosphoenolpyruvate carboxykinase 1"|"PCK1"|"gene with protein product"|"20q13.31"|614168
"phosphoenolpyruvate carboxykinase 2, mitochondrial"|"PCK2"|"gene with protein product"|"14q11.2-q12"|614095
"glycerate kinase"|"GLYCTK"|"gene with protein product"|"3p21.2"|610516
"signal transducer and activator of transcription 5B"|"STAT5B"|"gene with protein product"|"17q21.2"|604260
"dicarbonyl and L-xylulose reductase"|"DCXR"|"gene with protein product"|"17q25.3"|608347
"cystathionine gamma-lyase"|"CTH"|"gene with protein product"|"1p31.1"|607657
"solute carrier family 7 member 7"|"SLC7A7"|"gene with protein product"|"14q11.2"|603593
"BRCA1 associated RING domain 1"|"BARD1"|"gene with protein product"|"2q35"|601593
"RAD50 double strand break repair protein"|"RAD50"|"gene with protein product"|"5q31.1"|604040
"cadherin related 23"|"CDH23"|"gene with protein product"|"10q22.1"|605516
"pterin-4 alpha-carbinolamine dehydratase 1"|"PCBD1"|"gene with protein product"|"10q22.1"|126090
"succinate dehydrogenase complex assembly factor 1"|"SDHAF1"|"gene with protein product"|"19q13.12"|612848
"anaphase promoting complex subunit 1"|"ANAPC1"|"gene with protein product"|"2q13"|608473
"fumarate hydratase"|"FH"|"gene with protein product"|"1q43"|136850
"synthesis of cytochrome C oxidase 1"|"SCO1"|"gene with protein product"|"17p13.1"|603644
"synthesis of cytochrome C oxidase 2"|"SCO2"|"gene with protein product"|"22q13.33"|604272
"cytochrome c oxidase assembly factor 5"|"COA5"|"gene with protein product"|"2q11.2"|613920
"cytochrome c oxidase assembly factor 6"|"COA6"|"gene with protein product"|"1q42.2"|614772
"ubiquinol-cytochrome c reductase complex III subunit VII"|"UQCRQ"|"gene with protein product"|"5q31.1"|612080
"ubiquinol-cytochrome c reductase binding protein"|"UQCRB"|"gene with protein product"|"8q22.1"|191330
"tetratricopeptide repeat domain 19"|"TTC19"|"gene with protein product"|"17p12"|613814
"ubiquinol-cytochrome c reductase core protein 2"|"UQCRC2"|"gene with protein product"|"16p12.2"|191329
"cytochrome c1"|"CYC1"|"gene with protein product"|"8q24.3"|123980
"LYR motif containing 7"|"LYRM7"|"gene with protein product"|"5q23.3-q31.1"|615831
"ubiquinol-cytochrome c reductase complex assembly factor 2"|"UQCC2"|"gene with protein product"|"6p21.31"|614461
"ubiquinol-cytochrome c reductase complex assembly factor 3"|"UQCC3"|"gene with protein product"|"11q12.3"|616097
"ubiquinol-cytochrome c reductase, Rieske iron-sulfur polypeptide 1"|"UQCRFS1"|"gene with protein product"|"19q12"|191327
"FAM111 trypsin like peptidase B"|"FAM111B"|"gene with protein product"|"11q12.1"|615584
"protein C, inactivator of coagulation factors Va and VIIIa"|"PROC"|"gene with protein product"|"2q14.3"|612283
"CCM2 scaffold protein"|"CCM2"|"gene with protein product"|"7p13"|607929
"KRIT1 ankyrin repeat containing"|"KRIT1"|"gene with protein product"|"7q21.2"|604214
"programmed cell death 10"|"PDCD10"|"gene with protein product"|"3q26.1"|609118
"nucleoporin 62"|"NUP62"|"gene with protein product"|"19q13.33"|605815
"transferrin receptor 2"|"TFR2"|"gene with protein product"|"7q22.1"|604720
"FLVCR heme transporter 2"|"FLVCR2"|"gene with protein product"|"14q24.3"|610865
"kinetochore localized astrin (SPAG5) binding protein"|"KNSTRN"|"gene with protein product"|"15q15.1"|614718
"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta"|"PIK3CD"|"gene with protein product"|"1p36.22"|602839
"latent transforming growth factor beta binding protein 4"|"LTBP4"|"gene with protein product"|"19q13.2"|604710
"coronin 1A"|"CORO1A"|"gene with protein product"|"16p11.2"|605000
"transmembrane protein 126A"|"TMEM126A"|"gene with protein product"|"11q14.1"|612988
"retinol dehydrogenase 5"|"RDH5"|"gene with protein product"|"12q13.2"|601617
"myosin VI"|"MYO6"|"gene with protein product"|"6q14.1"|600970
"MYC proto-oncogene, bHLH transcription factor"|"MYC"|"gene with protein product"|"8q24.21"|190080
"ETS transcription factor ERG"|"ERG"|"gene with protein product"|"21q22.2"|165080
"ETS variant transcription factor 1"|"ETV1"|"gene with protein product"|"7p21.2"|600541
"ETS variant transcription factor 4"|"ETV4"|"gene with protein product"|"17q21.31"|600711
"RAD54 like"|"RAD54L"|"gene with protein product"|"1p34.1"|603615
"protein phosphatase, Mg2+/Mn2+ dependent 1D"|"PPM1D"|"gene with protein product"|"17q23.3"|605100
"solute carrier family 22 member 18"|"SLC22A18"|"gene with protein product"|"11p15.4"|602631
"signal transducer and activator of transcription 6"|"STAT6"|"gene with protein product"|"12q13.3"|601512
"NGFI-A binding protein 2"|"NAB2"|"gene with protein product"|"12q13.3"|602381
"ATP binding cassette subfamily C member 6"|"ABCC6"|"gene with protein product"|"16p13.11"|603234
"ectonucleotide pyrophosphatase/phosphodiesterase 1"|"ENPP1"|"gene with protein product"|"6q23.2"|173335
"proline dehydrogenase 1"|"PRODH"|"gene with protein product"|"22q11.21"|606810
"dual oxidase 2"|"DUOX2"|"gene with protein product"|"15q21.1"|606759
"POU class 1 homeobox 1"|"POU1F1"|"gene with protein product"|"3p11.2"|173110
"PROP paired-like homeobox 1"|"PROP1"|"gene with protein product"|"5q35.3"|601538
"LIM homeobox 3"|"LHX3"|"gene with protein product"|"9q34.3"|600577
"LIM homeobox 4"|"LHX4"|"gene with protein product"|"1q25.2"|602146
"SS18 subunit of BAF chromatin remodeling complex"|"SS18"|"gene with protein product"|"18q11.2"|600192
"SSX family member 1"|"SSX1"|"gene with protein product"|"Xp11.23"|312820
"SSX family member 2"|"SSX2"|"gene with protein product"|"Xp11.22"|300192
"modulator of VRAC current 1"|"MLC1"|"gene with protein product"|"22q13.33"|605908
"glycine amidinotransferase"|"GATM"|"gene with protein product"|"15q21.1"|602360
"arginine vasopressin receptor 2"|"AVPR2"|"gene with protein product"|"Xq28"|300538
"aquaporin 2"|"AQP2"|"gene with protein product"|"12q13.12"|107777
"ABL proto-oncogene 1, non-receptor tyrosine kinase"|"ABL1"|"gene with protein product"|"9q34.12"|189980
"RUNX family transcription factor 1"|"RUNX1"|"gene with protein product"|"21q22.12"|151385
"butyrylcholinesterase"|"BCHE"|"gene with protein product"|"3q26.1"|177400
"itchy E3 ubiquitin protein ligase"|"ITCH"|"gene with protein product"|"20q11.22"|606409
"growth differentiation factor 3"|"GDF3"|"gene with protein product"|"12p13.31"|606522
"mesenchyme homeobox 1"|"MEOX1"|"gene with protein product"|"17q21.31"|600147
"palladin, cytoskeletal associated protein"|"PALLD"|"gene with protein product"|"4q32.3"|608092
"RAB, member of RAS oncogene family like 3"|"RABL3"|"gene with protein product"|"3q13.33"|618542
"NK3 homeobox 2"|"NKX3-2"|"gene with protein product"|"4p15.33"|602183
"ALX homeobox 4"|"ALX4"|"gene with protein product"|"11p11.2"|605420
"TGF-beta activated kinase 1 (MAP3K7) binding protein 2"|"TAB2"|"gene with protein product"|"6q25.1"|605101
"major facilitator superfamily domain containing 8"|"MFSD8"|"gene with protein product"|"4q28.2"|611124
"CLN6 transmembrane ER protein"|"CLN6"|"gene with protein product"|"15q23"|606725
"CLN5 intracellular trafficking protein"|"CLN5"|"gene with protein product"|"13q22.3"|608102
"myocyte enhancer factor 2C"|"MEF2C"|"gene with protein product"|"5q14.3"|600662
"neurofilament light chain"|"NEFL"|"gene with protein product"|"8p21.2"|162280
"cathepsin D"|"CTSD"|"gene with protein product"|"11p15.5"|116840
"palmitoyl-protein thioesterase 1"|"PPT1"|"gene with protein product"|"1p34.2"|600722
"tripeptidyl peptidase 1"|"TPP1"|"gene with protein product"|"11p15.4"|607998
"CLN3 lysosomal/endosomal transmembrane protein, battenin"|"CLN3"|"gene with protein product"|"16p12.1"|607042
"DnaJ heat shock protein family (Hsp40) member C5"|"DNAJC5"|"gene with protein product"|"20q13.33"|611203
"Rh associated glycoprotein"|"RHAG"|"gene with protein product"|"6p12.3"|180297
"piezo type mechanosensitive ion channel component 1"|"PIEZO1"|"gene with protein product"|"16q24.3"|611184
"collagen type IV alpha 6 chain"|"COL4A6"|"gene with protein product"|"Xq22.3"|303631
"collagen type IV alpha 5 chain"|"COL4A5"|"gene with protein product"|"Xq22.3"|303630
"sodium voltage-gated channel alpha subunit 8"|"SCN8A"|"gene with protein product"|"12q13.13"|600702
"coagulation factor X"|"F10"|"gene with protein product"|"13q34"|613872
"alanyl-tRNA synthetase 1"|"AARS1"|"gene with protein product"|"16q22.1"|601065
"erythrocyte membrane protein band 4.1"|"EPB41"|"gene with protein product"|"1p35.3"|130500
"glycophorin C (Gerbich blood group)"|"GYPC"|"gene with protein product"|"2q14.3"|110750
"arylsulfatase A"|"ARSA"|"gene with protein product"|"22q13.33"|607574
"dystrobrevin binding protein 1"|"DTNBP1"|"gene with protein product"|"6p22.3"|607145
"biogenesis of lysosomal organelles complex 1 subunit 5"|"BLOC1S5"|"gene with protein product"|"6p24.3"|607289
"biogenesis of lysosomal organelles complex 1 subunit 3"|"BLOC1S3"|"gene with protein product"|"19q13.32"|609762
"biogenesis of lysosomal organelles complex 1 subunit 6"|"BLOC1S6"|"gene with protein product"|"15q21.1"|604310
"HPS3 biogenesis of lysosomal organelles complex 2 subunit 1"|"HPS3"|"gene with protein product"|"3q24"|606118
"HPS5 biogenesis of lysosomal organelles complex 2 subunit 2"|"HPS5"|"gene with protein product"|"11p15.1"|607521
"HPS6 biogenesis of lysosomal organelles complex 2 subunit 3"|"HPS6"|"gene with protein product"|"10q24.32"|607522
"torsin family 1 member A"|"TOR1A"|"gene with protein product"|"9q34.11"|605204
"eukaryotic translation initiation factor 2 alpha kinase 2"|"EIF2AK2"|"gene with protein product"|"2p22.2"|176871
"HPS1 biogenesis of lysosomal organelles complex 3 subunit 1"|"HPS1"|"gene with protein product"|"10q24.2"|604982
"HPS4 biogenesis of lysosomal organelles complex 3 subunit 2"|"HPS4"|"gene with protein product"|"22q12.1"|606682
"hypocretin neuropeptide precursor"|"HCRT"|"gene with protein product"|"17q21.2"|602358
"myelin oligodendrocyte glycoprotein"|"MOG"|"gene with protein product"|"6p22.1"|159465
"purinergic receptor P2Y11"|"P2RY11"|"gene with protein product"|"19p13.2"|602697
"zinc finger protein 365"|"ZNF365"|"gene with protein product"|"10q21.2"|607818
"cathepsin H"|"CTSH"|"gene with protein product"|"15q25.1"|116820
"adenylate cyclase 10"|"ADCY10"|"gene with protein product"|"1q24.2"|605205
"hemoglobin subunit delta"|"HBD"|"gene with protein product"|"11p15.4"|142000
"WD repeat domain 72"|"WDR72"|"gene with protein product"|"15q21.3"|613214
"ATPase secretory pathway Ca2+ transporting 1"|"ATP2C1"|"gene with protein product"|"3q22.1"|604384
"centrosomal protein 78"|"CEP78"|"gene with protein product"|"9q21.2"|617110
"arylsulfatase G"|"ARSG"|"gene with protein product"|"17q24.2"|610008
"histidyl-tRNA synthetase 1"|"HARS1"|"gene with protein product"|"5q31.3"|142810
"adhesion G protein-coupled receptor V1"|"ADGRV1"|"gene with protein product"|"5q14.3"|602851
"myosin VIIA"|"MYO7A"|"gene with protein product"|"11q13.5"|276903
"whirlin"|"WHRN"|"gene with protein product"|"9q32"|607928
"PDZ domain containing 7"|"PDZD7"|"gene with protein product"|"10q24.31"|612971
"complement factor properdin"|"CFP"|"gene with protein product"|"Xp11.23"|300383
"angiopoietin like 6"|"ANGPTL6"|"gene with protein product"|"19p13.2"|609336
"transforming growth factor beta receptor 3"|"TGFBR3"|"gene with protein product"|"1p22.1"|600742
"thrombospondin type 1 domain containing 1"|"THSD1"|"gene with protein product"|"13q14.3"|616821
"Usher syndrome 1K (autosomal recessive)"|"USH1K"|"Disorder-associated locus"|"10p11.21-q21.1"|
"USH1 protein network component harmonin"|"USH1C"|"gene with protein product"|"11p15.1"|605242
"USH1 protein network component sans"|"USH1G"|"gene with protein product"|"17q25.1"|607696
"protocadherin related 15"|"PCDH15"|"gene with protein product"|"10q21.1"|605514
"Usher syndrome 1E (autosomal recessive, severe)"|"USH1E"|"Disorder-associated locus"|"21q21"|
"Usher syndrome 1H (autosomal recessive)"|"USH1H"|"Disorder-associated locus"|"15q22-q23"|
"calcium and integrin binding family member 2"|"CIB2"|"gene with protein product"|"15q25.1"|605564
"espin"|"ESPN"|"gene with protein product"|"1p36.31"|606351
"cyclin dependent kinase inhibitor 1C"|"CDKN1C"|"gene with protein product"|"11p15.4"|600856
"SAM and SH3 domain containing 1"|"SASH1"|"gene with protein product"|"6q24.3-q25.1"|607955
"tet methylcytosine dioxygenase 2"|"TET2"|"gene with protein product"|"4q24"|612839
"SH2B adaptor protein 3"|"SH2B3"|"gene with protein product"|"12q24.12"|605093
"serpin family C member 1"|"SERPINC1"|"gene with protein product"|"1q25.1"|107300
"tenascin XB"|"TNXB"|"gene with protein product"|"6p21.33-p21.32"|600985
"apolipoprotein A2"|"APOA2"|"gene with protein product"|"1q23.3"|107670
"ubiquitin protein ligase E3A"|"UBE3A"|"gene with protein product"|"15q11.2"|601623
"procollagen-lysine,2-oxoglutarate 5-dioxygenase 1"|"PLOD1"|"gene with protein product"|"1p36.22"|153454
"growth hormone 1"|"GH1"|"gene with protein product"|"17q23.3"|139250
"growth hormone releasing hormone receptor"|"GHRHR"|"gene with protein product"|"7p14.3"|139191
"RNA binding region (RNP1, RRM) containing 3"|"RNPC3"|"gene with protein product"|"1p21.1"|618016
"ADAM metallopeptidase with thrombospondin type 1 motif 2"|"ADAMTS2"|"gene with protein product"|"5q35.3"|604539
"HIC ZBTB transcriptional repressor 1"|"HIC1"|"gene with protein product"|"17p13.3"|603825
"dynein axonemal light chain 4"|"DNAL4"|"gene with protein product"|"22q13.1"|610565
"netrin 1"|"NTN1"|"gene with protein product"|"17p13.1"|601614
"heterogeneous nuclear ribonucleoprotein U"|"HNRNPU"|"gene with protein product"|"1q44"|602869
"CD27 molecule"|"CD27"|"gene with protein product"|"12p13.31"|186711
"epoxide hydrolase 1"|"EPHX1"|"gene with protein product"|"1q42.12"|132810
"tight junction protein 2"|"TJP2"|"gene with protein product"|"9q21.11"|607709
"bile acid-CoA:amino acid N-acyltransferase"|"BAAT"|"gene with protein product"|"9q31.1"|602938
"solute carrier family 6 member 3"|"SLC6A3"|"gene with protein product"|"5p15.33"|126455
"solute carrier family 35 member A1"|"SLC35A1"|"gene with protein product"|"6q15"|605634
"interleukin 10 receptor subunit alpha"|"IL10RA"|"gene with protein product"|"11q23.3"|146933
"interleukin 10 receptor subunit beta"|"IL10RB"|"gene with protein product"|"21q22.11"|123889
"thyrotropin releasing hormone"|"TRH"|"gene with protein product"|"3q22.1"|613879
"tyrosine kinase 2"|"TYK2"|"gene with protein product"|"19p13.2"|176941
"glucose-6-phosphatase catalytic subunit 3"|"G6PC3"|"gene with protein product"|"17q21.31"|611045
"MBL associated serine protease 2"|"MASP2"|"gene with protein product"|"1p36.22"|605102
"ficolin 3"|"FCN3"|"gene with protein product"|"1p36.11"|604973
"dynamin 1 like"|"DNM1L"|"gene with protein product"|"12p11.21"|603850
"growth factor, augmenter of liver regeneration"|"GFER"|"gene with protein product"|"16p13.3"|600924
"complement factor H related 1"|"CFHR1"|"gene with protein product"|"1q31.3"|134371
"complement factor H related 5"|"CFHR5"|"gene with protein product"|"1q31.3"|608593
"complement factor H related 3"|"CFHR3"|"gene with protein product"|"1q31.3"|605336
"complement factor H related 2"|"CFHR2"|"gene with protein product"|"1q31.3"|600889
"diacylglycerol kinase epsilon"|"DGKE"|"gene with protein product"|"17q22"|601440
"endothelin converting enzyme like 1"|"ECEL1"|"gene with protein product"|"2q37.1"|605896
"G protein subunit alpha L"|"GNAL"|"gene with protein product"|"18p11.21"|139312
"GLIS family zinc finger 2"|"GLIS2"|"gene with protein product"|"16p13.3"|608539
"CBFA2/RUNX1 partner transcriptional co-repressor 3"|"CBFA2T3"|"gene with protein product"|"16q24.3"|603870
"ribonuclease H1"|"RNASEH1"|"gene with protein product"|"2p25.3"|604123
"zinc finger protein 335"|"ZNF335"|"gene with protein product"|"20q13.12"|610827
"phosphofurin acidic cluster sorting protein 1"|"PACS1"|"gene with protein product"|"11q13.1-q13.2"|607492
"protein Z, vitamin K dependent plasma glycoprotein"|"PROZ"|"gene with protein product"|"13q34"|176895
"calpain 5"|"CAPN5"|"gene with protein product"|"11q13.5"|602537
"HECT and RLD domain containing E3 ubiquitin protein ligase 2"|"HERC2"|"gene with protein product"|"15q13.1"|605837
"dolichyl-phosphate mannosyltransferase subunit 2, regulatory"|"DPM2"|"gene with protein product"|"9q34.11"|603564
"dehydrogenase E1 and transketolase domain containing 1"|"DHTKD1"|"gene with protein product"|"10p14"|614984
"plasmalemma vesicle associated protein"|"PLVAP"|"gene with protein product"|"19p13.11"|607647
"diacylglycerol O-acyltransferase 1"|"DGAT1"|"gene with protein product"|"8q24.3"|604900
"immunoglobulin superfamily member 1"|"IGSF1"|"gene with protein product"|"Xq25"|300137
"RANBP2-type and C3HC4-type zinc finger containing 1"|"RBCK1"|"gene with protein product"|"20p13"|610924
"ring finger protein 31"|"RNF31"|"gene with protein product"|"14q12"|612487
"coagulation factor XI"|"F11"|"gene with protein product"|"4q35.2"|264900
"luteinizing hormone subunit beta"|"LHB"|"gene with protein product"|"19q13.33"|152780
"proteasome 20S subunit beta 8"|"PSMB8"|"gene with protein product"|"6p21.32"|177046
"steroid 5 alpha-reductase 3"|"SRD5A3"|"gene with protein product"|"4q12"|611715
"kinesin family member 5A"|"KIF5A"|"gene with protein product"|"12q13.3"|602821
"charged multivesicular body protein 1A"|"CHMP1A"|"gene with protein product"|"16q24.3"|164010
"HNF1 homeobox A"|"HNF1A"|"gene with protein product"|"12q24.31"|142410
"phospholipase C gamma 2"|"PLCG2"|"gene with protein product"|"16q24.1"|600220
"required for meiotic nuclear division 1 homolog"|"RMND1"|"gene with protein product"|"6q25.1"|614917
"histidine triad nucleotide binding protein 1"|"HINT1"|"gene with protein product"|"5q23.3"|601314
"chloride intracellular channel 2"|"CLIC2"|"gene with protein product"|"Xq28"|300138
"calcium voltage-gated channel subunit alpha1 D"|"CACNA1D"|"gene with protein product"|"3p21.1"|114206
"ras homolog family member H"|"RHOH"|"gene with protein product"|"4p14"|602037
"PR/SET domain 8"|"PRDM8"|"gene with protein product"|"4q21.21"|616639
"glutamate metabotropic receptor 1"|"GRM1"|"gene with protein product"|"6q24.3"|604473
"spastic paraplegia 41 (autosomal dominant)"|"SPG41"|"Disorder-associated locus"|"11p14.1-p11.2"|613364
"chromosome 19 open reading frame 12"|"C19ORF12"|"gene with protein product"|"19q12"|614297
"spastic paraplegia 36 (autosomal dominant)"|"SPG36"|"Disorder-associated locus"|"12q23-q24"|
"DDHD domain containing 2"|"DDHD2"|"gene with protein product"|"8p11.23"|615003
"glucosylceramidase beta 2"|"GBA2"|"gene with protein product"|"9p13.3"|609471
"tectonin beta-propeller repeat containing 2"|"TECPR2"|"gene with protein product"|"14q32.33"|615000
"5'-nucleotidase, cytosolic II"|"NT5C2"|"gene with protein product"|"10q24.32-q24.33"|600417
"cytochrome P450 family 2 subfamily U member 1"|"CYP2U1"|"gene with protein product"|"4q25"|610670
"fibronectin leucine rich transmembrane protein 1"|"FLRT1"|"gene with protein product"|"11q13.1"|604806
"kinesin light chain 2"|"KLC2"|"gene with protein product"|"11q13.2"|611729
"interferon gamma receptor 2"|"IFNGR2"|"gene with protein product"|"21q22.11"|147569
"phenylalanyl-tRNA synthetase 2, mitochondrial"|"FARS2"|"gene with protein product"|"6p25.1"|611592
"mitochondrial ribosomal protein L3"|"MRPL3"|"gene with protein product"|"3q22.1"|607118
"polyribonucleotide nucleotidyltransferase 1"|"PNPT1"|"gene with protein product"|"2p16.1"|610316
"signal transducer and activator of transcription 1"|"STAT1"|"gene with protein product"|"2q32.2"|600555
"ISG15 ubiquitin like modifier"|"ISG15"|"gene with protein product"|"1p36.33"|147571
"dihydrofolate reductase"|"DHFR"|"gene with protein product"|"5q14.1"|126060
"phosphoglucomutase 1"|"PGM1"|"gene with protein product"|"1p31.3"|171900
"glycoprotein nmb"|"GPNMB"|"gene with protein product"|"7p15.3"|604368
"interferon regulatory factor 8"|"IRF8"|"gene with protein product"|"16q24.1"|601565
"lactase"|"LCT"|"gene with protein product"|"2q21.3"|603202
"minichromosome maintenance complex component 6"|"MCM6"|"gene with protein product"|"2q21.3"|601806
"coenzyme Q9"|"COQ9"|"gene with protein product"|"16q21"|612837
"ninein"|"NIN"|"gene with protein product"|"14q22.1"|608684
"La ribonucleoprotein 7, transcriptional regulator"|"LARP7"|"gene with protein product"|"4q25"|612026
"proline rich mitotic checkpoint control factor"|"PRCC"|"gene with protein product"|"1q23.1"|179755
"transcription factor EB"|"TFEB"|"gene with protein product"|"6p21.1"|600744
"splicing factor proline and glutamine rich"|"SFPQ"|"gene with protein product"|"1p34.3"|605199
"non-POU domain containing octamer binding"|"NONO"|"gene with protein product"|"Xq13.1"|300084
"spectrin repeat containing nuclear envelope protein 1"|"SYNE1"|"gene with protein product"|"6q25.2"|608441
"multiple inositol-polyphosphate phosphatase 1"|"MINPP1"|"gene with protein product"|"10q23.2"|605391
"hyaluronan binding protein 2"|"HABP2"|"gene with protein product"|"10q25.3"|603924
"CCAAT enhancer binding protein alpha"|"CEBPA"|"gene with protein product"|"19q13.11"|116897
"alanyl-tRNA synthetase 2, mitochondrial"|"AARS2"|"gene with protein product"|"6p21.1"|612035
"ERCC excision repair 6 like 2"|"ERCC6L2"|"gene with protein product"|"9q22.32"|615667
"VPS37A subunit of ESCRT-I"|"VPS37A"|"gene with protein product"|"8p22"|609927
"coiled-coil domain containing 78"|"CCDC78"|"gene with protein product"|"16p13.3"|614666
"nucleolar protein 3"|"NOL3"|"gene with protein product"|"16q22.1"|605235
"protocadherin 12"|"PCDH12"|"gene with protein product"|"5q31.3"|605622
"lysine methyltransferase 2A"|"KMT2A"|"gene with protein product"|"11q23.3"|159555
"protein kinase, DNA-activated, catalytic subunit"|"PRKDC"|"gene with protein product"|"8q11.21"|600899
"IKAROS family zinc finger 1"|"IKZF1"|"gene with protein product"|"7p12.2"|603023
"magnesium transporter 1"|"MAGT1"|"gene with protein product"|"Xq21.1"|300715
"cytochrome P450 family 21 subfamily A member 2"|"CYP21A2"|"gene with protein product"|"6p21.33"|613815
"ATPase plasma membrane Ca2+ transporting 3"|"ATP2B3"|"gene with protein product"|"Xq28"|300014
"aspartoacylase"|"ASPA"|"gene with protein product"|"17p13.2"|608034
"dachsous cadherin-related 1"|"DCHS1"|"gene with protein product"|"11p15.4"|603057
"transmembrane protein 165"|"TMEM165"|"gene with protein product"|"4q12"|614726
"serine/threonine kinase 4"|"STK4"|"gene with protein product"|"20q13.12"|604965
"beta-2-microglobulin"|"B2M"|"gene with protein product"|"15q21.1"|109700
"purine rich element binding protein A"|"PURA"|"gene with protein product"|"5q31.3"|600473
"mitochondrial tRNA translation optimization 1"|"MTO1"|"gene with protein product"|"6q13"|614667
"ATPase cation transporting 13A2"|"ATP13A2"|"gene with protein product"|"1p36.13"|610513
"growth hormone secretagogue receptor"|"GHSR"|"gene with protein product"|"3q26.31"|601898
"EGF containing fibulin extracellular matrix protein 2"|"EFEMP2"|"gene with protein product"|"11q13.1"|604633
"SPARC related modular calcium binding 2"|"SMOC2"|"gene with protein product"|"6q27"|607223
"dystonia 17"|"DYT17"|"Disorder-associated locus"|"20p11.22-q13.12"|
"solute carrier family 24 member 5"|"SLC24A5"|"gene with protein product"|"15q21.1"|609802
"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 5"|"SMARCA5"|"gene with protein product"|"4q31.21"|603375
"laminin subunit alpha 1"|"LAMA1"|"gene with protein product"|"18p11.31"|150320
"CREB binding protein"|"CREBBP"|"gene with protein product"|"16p13.3"|600140
"lysine acetyltransferase 6A"|"KAT6A"|"gene with protein product"|"8p11.21"|601408
"leucyl-tRNA synthetase 1"|"LARS1"|"gene with protein product"|"5q32"|151350
"STT3 oligosaccharyltransferase complex catalytic subunit A"|"STT3A"|"gene with protein product"|"11q24.2"|601134
"STT3 oligosaccharyltransferase complex catalytic subunit B"|"STT3B"|"gene with protein product"|"3p23"|608605
"signal sequence receptor subunit 4"|"SSR4"|"gene with protein product"|"Xq28"|300090
"protein O-mannosyltransferase 1"|"POMT1"|"gene with protein product"|"9q34.13"|607423
"fukutin related protein"|"FKRP"|"gene with protein product"|"19q13.32"|606596
"protein O-mannose kinase"|"POMK"|"gene with protein product"|"8p11.21"|615247
"GDP-mannose pyrophosphorylase B"|"GMPPB"|"gene with protein product"|"3p21.31"|615320
"LARGE xylosyl- and glucuronyltransferase 1"|"LARGE1"|"gene with protein product"|"22q12.3"|603590
"CDP-L-ribitol pyrophosphorylase A"|"CRPPA"|"gene with protein product"|"7p21.2"|614631
"ST3 beta-galactoside alpha-2,3-sialyltransferase 5"|"ST3GAL5"|"gene with protein product"|"2p11.2"|604402
"solute carrier family 35 member A3"|"SLC35A3"|"gene with protein product"|"1p21.2"|605632
"adenosine monophosphate deaminase 2"|"AMPD2"|"gene with protein product"|"1p13.3"|102771
"B cell receptor associated protein 31"|"BCAP31"|"gene with protein product"|"Xq28"|300398
"ATP binding cassette subfamily D member 4"|"ABCD4"|"gene with protein product"|"14q24.3"|603214
"ADAM metallopeptidase with thrombospondin type 1 motif 18"|"ADAMTS18"|"gene with protein product"|"16q23.1"|607512
"desmoglein 1"|"DSG1"|"gene with protein product"|"18q12.1"|125670
"phosphatidylinositol glycan anchor biosynthesis class T"|"PIGT"|"gene with protein product"|"20q13.12"|610272
"vacuolar protein sorting 45 homolog"|"VPS45"|"gene with protein product"|"1q21.2"|610035
"rabenosyn, RAB effector"|"RBSN"|"gene with protein product"|"3p25.1"|609511
"tRNA nucleotidyl transferase 1"|"TRNT1"|"gene with protein product"|"3p26.2"|612907
"F-box and leucine rich repeat protein 4"|"FBXL4"|"gene with protein product"|"6q16.1-q16.2"|605654
"glutamate ionotropic receptor AMPA type subunit 3"|"GRIA3"|"gene with protein product"|"Xq25"|305915
"transmembrane protein 70"|"TMEM70"|"gene with protein product"|"8q21.11"|612418
"angiopoietin 2"|"ANGPT2"|"gene with protein product"|"8p23.1"|601922
"phospholipase A2 group V"|"PLA2G5"|"gene with protein product"|"1p36.13"|601192
"ADAM metallopeptidase with thrombospondin type 1 motif 17"|"ADAMTS17"|"gene with protein product"|"15q26.3"|607511
"ceramide synthase 3"|"CERS3"|"gene with protein product"|"15q26.3"|615276
"SET binding factor 1"|"SBF1"|"gene with protein product"|"22q13.33"|603560
"transmembrane serine protease 4"|"TMPRSS4"|"gene with protein product"|"11q23.3"|606565
"KAT8 regulatory NSL complex subunit 1"|"KANSL1"|"gene with protein product"|"17q21.31"|612452
"glial fibrillary acidic protein"|"GFAP"|"gene with protein product"|"17q21.31"|137780
"DAB adaptor protein 1"|"DAB1"|"gene with protein product"|"1p32.2"|603448
